iter=  340, img_loss=0.304919, reg_loss=0.053395, lr=0.00000, time=1272.1 ms, rem=1.65 h
iter=  350, img_loss=0.318544, reg_loss=0.056199, lr=0.00000, time=1319.8 ms, rem=1.70 h
iter=  360, img_loss=0.315382, reg_loss=0.055418, lr=0.00000, time=1307.4 ms, rem=1.69 h
iter=  370, img_loss=0.308021, reg_loss=0.054175, lr=0.00000, time=1285.5 ms, rem=1.65 h
iter=  380, img_loss=0.303096, reg_loss=0.054373, lr=0.00000, time=1289.2 ms, rem=1.65 h
iter=  390, img_loss=0.324908, reg_loss=0.056794, lr=0.00000, time=1330.3 ms, rem=1.70 h
iter=  400, img_loss=0.335361, reg_loss=0.057589, lr=0.00000, time=1345.9 ms, rem=1.72 h
iter=  410, img_loss=0.318288, reg_loss=0.056036, lr=0.00000, time=1319.0 ms, rem=1.68 h
iter=  420, img_loss=0.308799, reg_loss=0.054460, lr=0.00000, time=1292.7 ms, rem=1.64 h
iter=  430, img_loss=0.318268, reg_loss=0.055454, lr=0.00000, time=1308.6 ms, rem=1.66 h
iter=  440, img_loss=0.282996, reg_loss=0.051655, lr=0.00000, time=1245.7 ms, rem=1.58 h
iter=  450, img_loss=0.312603, reg_loss=0.056111, lr=0.00000, time=1320.6 ms, rem=1.67 h
iter=  460, img_loss=0.317031, reg_loss=0.055763, lr=0.00000, time=1314.1 ms, rem=1.66 h
iter=  470, img_loss=0.306162, reg_loss=0.054770, lr=0.00000, time=1299.6 ms, rem=1.64 h
iter=  480, img_loss=0.308956, reg_loss=0.054420, lr=0.00000, time=1290.5 ms, rem=1.62 h
iter=  490, img_loss=0.329869, reg_loss=0.057487, lr=0.00000, time=1344.8 ms, rem=1.68 h
iter=  500, img_loss=0.310885, reg_loss=0.055249, lr=0.00000, time=1304.5 ms, rem=1.63 h
iter=  510, img_loss=0.299626, reg_loss=0.052845, lr=0.00000, time=1265.7 ms, rem=1.58 h
iter=  520, img_loss=0.311045, reg_loss=0.054830, lr=0.00000, time=1298.6 ms, rem=1.62 h
iter=  530, img_loss=0.295978, reg_loss=0.052771, lr=0.00000, time=1263.9 ms, rem=1.57 h
iter=  540, img_loss=0.285203, reg_loss=0.051231, lr=0.00000, time=1238.1 ms, rem=1.53 h
iter=  550, img_loss=0.306543, reg_loss=0.054360, lr=0.00000, time=1290.5 ms, rem=1.60 h
iter=  560, img_loss=0.322812, reg_loss=0.056435, lr=0.00000, time=1325.9 ms, rem=1.64 h
iter=  570, img_loss=0.307368, reg_loss=0.054193, lr=0.00000, time=1289.1 ms, rem=1.59 h
iter=  580, img_loss=0.308948, reg_loss=0.054517, lr=0.00000, time=1290.4 ms, rem=1.58 h
iter=  590, img_loss=0.284760, reg_loss=0.050949, lr=0.00000, time=1232.5 ms, rem=1.51 h
iter=  600, img_loss=0.306117, reg_loss=0.054776, lr=0.00000, time=1297.4 ms, rem=1.59 h
iter=  610, img_loss=0.314559, reg_loss=0.055508, lr=0.00000, time=1307.4 ms, rem=1.59 h
iter=  620, img_loss=0.292814, reg_loss=0.052380, lr=0.00000, time=1256.1 ms, rem=1.53 h
iter=  630, img_loss=0.304031, reg_loss=0.054428, lr=0.00000, time=1291.2 ms, rem=1.57 h
iter=  640, img_loss=0.303230, reg_loss=0.053976, lr=0.00000, time=1282.8 ms, rem=1.55 h
iter=  650, img_loss=0.317161, reg_loss=0.055419, lr=0.00000, time=1305.7 ms, rem=1.58 h
iter=  660, img_loss=0.310439, reg_loss=0.054820, lr=0.00000, time=1297.6 ms, rem=1.56 h
iter=  670, img_loss=0.295293, reg_loss=0.053263, lr=0.00000, time=1270.8 ms, rem=1.53 h
iter=  680, img_loss=0.278492, reg_loss=0.050521, lr=0.00000, time=1221.6 ms, rem=1.47 h
iter=  690, img_loss=0.284544, reg_loss=0.050900, lr=0.00000, time=1229.5 ms, rem=1.47 h
iter=  700, img_loss=0.330542, reg_loss=0.057594, lr=0.00000, time=1349.1 ms, rem=1.61 h
iter=  710, img_loss=0.300419, reg_loss=0.053284, lr=0.00000, time=1268.8 ms, rem=1.51 h
iter=  720, img_loss=0.325193, reg_loss=0.056909, lr=0.00000, time=1332.4 ms, rem=1.58 h
iter=  730, img_loss=0.323086, reg_loss=0.057075, lr=0.00000, time=1335.7 ms, rem=1.58 h
iter=  740, img_loss=0.322193, reg_loss=0.056020, lr=0.00000, time=1316.6 ms, rem=1.56 h
iter=  750, img_loss=0.312416, reg_loss=0.055704, lr=0.00000, time=1311.9 ms, rem=1.55 h
iter=  760, img_loss=0.309519, reg_loss=0.054612, lr=0.00000, time=1292.7 ms, rem=1.52 h
iter=  770, img_loss=0.307506, reg_loss=0.054511, lr=0.00000, time=1290.2 ms, rem=1.52 h
iter=  780, img_loss=0.292462, reg_loss=0.052868, lr=0.00000, time=1262.2 ms, rem=1.48 h
iter=  790, img_loss=0.306847, reg_loss=0.054115, lr=0.00000, time=1283.4 ms, rem=1.50 h
iter=  800, img_loss=0.315033, reg_loss=0.055592, lr=0.00000, time=1312.0 ms, rem=1.53 h
iter=  810, img_loss=0.289985, reg_loss=0.052018, lr=0.00000, time=1247.1 ms, rem=1.45 h
iter=  820, img_loss=0.315477, reg_loss=0.055762, lr=0.00000, time=1313.3 ms, rem=1.52 h
iter=  830, img_loss=0.329712, reg_loss=0.057479, lr=0.00000, time=1343.0 ms, rem=1.56 h
iter=  840, img_loss=0.318530, reg_loss=0.056196, lr=0.00000, time=1320.2 ms, rem=1.53 h
iter=  850, img_loss=0.299901, reg_loss=0.053027, lr=0.00000, time=1267.0 ms, rem=1.46 h
iter=  860, img_loss=0.293743, reg_loss=0.051699, lr=0.00000, time=1244.5 ms, rem=1.43 h
iter=  870, img_loss=0.290542, reg_loss=0.051683, lr=0.00000, time=1245.6 ms, rem=1.43 h
iter=  880, img_loss=0.288224, reg_loss=0.051744, lr=0.00000, time=1246.4 ms, rem=1.43 h
iter=  890, img_loss=0.294998, reg_loss=0.052274, lr=0.00000, time=1253.7 ms, rem=1.43 h
iter=  900, img_loss=0.310711, reg_loss=0.054634, lr=0.00000, time=1292.1 ms, rem=1.47 h
iter=  910, img_loss=0.325201, reg_loss=0.056419, lr=0.00000, time=1324.9 ms, rem=1.51 h
iter=  920, img_loss=0.298389, reg_loss=0.052829, lr=0.00000, time=1261.9 ms, rem=1.43 h
iter=  930, img_loss=0.284403, reg_loss=0.051151, lr=0.00000, time=1233.8 ms, rem=1.39 h
iter=  940, img_loss=0.286804, reg_loss=0.051626, lr=0.00000, time=1240.0 ms, rem=1.40 h
iter=  950, img_loss=0.327950, reg_loss=0.056876, lr=0.00000, time=1333.1 ms, rem=1.50 h
iter=  960, img_loss=0.305246, reg_loss=0.054293, lr=0.00000, time=1287.3 ms, rem=1.44 h
iter=  970, img_loss=0.304457, reg_loss=0.054021, lr=0.00000, time=1282.8 ms, rem=1.44 h
iter=  980, img_loss=0.304304, reg_loss=0.053882, lr=0.00000, time=1281.8 ms, rem=1.43 h
iter=  990, img_loss=0.321817, reg_loss=0.056492, lr=0.00000, time=1326.4 ms, rem=1.48 h
iter= 1000, img_loss=0.297394, reg_loss=0.053528, lr=0.00000, time=1272.5 ms, rem=1.41 h
iter= 1010, img_loss=0.296220, reg_loss=0.052900, lr=0.00000, time=1265.1 ms, rem=1.40 h
iter= 1020, img_loss=0.317548, reg_loss=0.056420, lr=0.00000, time=1324.6 ms, rem=1.46 h
