iter=  330, img_loss=0.143937, reg_loss=0.045621, lr=0.00000, time=1164.4 ms, rem=1.51 h
iter=  340, img_loss=0.143322, reg_loss=0.045900, lr=0.00000, time=1168.8 ms, rem=1.51 h
iter=  350, img_loss=0.135655, reg_loss=0.045681, lr=0.00000, time=1162.2 ms, rem=1.50 h
iter=  360, img_loss=0.142905, reg_loss=0.046990, lr=0.00000, time=1184.0 ms, rem=1.53 h
iter=  370, img_loss=0.141255, reg_loss=0.045276, lr=0.00000, time=1156.3 ms, rem=1.49 h
iter=  380, img_loss=0.136651, reg_loss=0.045617, lr=0.00000, time=1161.4 ms, rem=1.49 h
iter=  390, img_loss=0.138243, reg_loss=0.045254, lr=0.00000, time=1155.2 ms, rem=1.48 h
iter=  400, img_loss=0.140552, reg_loss=0.045559, lr=0.00000, time=1161.7 ms, rem=1.48 h
iter=  410, img_loss=0.138137, reg_loss=0.046344, lr=0.00000, time=1171.2 ms, rem=1.49 h
iter=  420, img_loss=0.138641, reg_loss=0.046131, lr=0.00000, time=1170.3 ms, rem=1.49 h
iter=  430, img_loss=0.137294, reg_loss=0.046226, lr=0.00000, time=1170.0 ms, rem=1.49 h
iter=  440, img_loss=0.135851, reg_loss=0.045412, lr=0.00000, time=1154.9 ms, rem=1.46 h
iter=  450, img_loss=0.140248, reg_loss=0.045677, lr=0.00000, time=1160.8 ms, rem=1.47 h
iter=  460, img_loss=0.139183, reg_loss=0.045555, lr=0.00000, time=1159.5 ms, rem=1.46 h
iter=  470, img_loss=0.144742, reg_loss=0.046795, lr=0.00000, time=1183.4 ms, rem=1.49 h
iter=  480, img_loss=0.145684, reg_loss=0.046566, lr=0.00000, time=1179.8 ms, rem=1.48 h
iter=  490, img_loss=0.141919, reg_loss=0.046549, lr=0.00000, time=1177.7 ms, rem=1.48 h
iter=  500, img_loss=0.140201, reg_loss=0.046542, lr=0.00000, time=1177.7 ms, rem=1.47 h
iter=  510, img_loss=0.150132, reg_loss=0.046621, lr=0.00000, time=1182.2 ms, rem=1.47 h
iter=  520, img_loss=0.144153, reg_loss=0.046745, lr=0.00000, time=1181.0 ms, rem=1.47 h
iter=  530, img_loss=0.141454, reg_loss=0.046394, lr=0.00000, time=1173.5 ms, rem=1.46 h
iter=  540, img_loss=0.141458, reg_loss=0.047279, lr=0.00000, time=1189.0 ms, rem=1.47 h
iter=  550, img_loss=0.136116, reg_loss=0.045528, lr=0.00000, time=1158.7 ms, rem=1.43 h
iter=  560, img_loss=0.143105, reg_loss=0.047263, lr=0.00000, time=1191.8 ms, rem=1.47 h
iter=  570, img_loss=0.141164, reg_loss=0.047208, lr=0.00000, time=1187.7 ms, rem=1.46 h
iter=  580, img_loss=0.144329, reg_loss=0.045722, lr=0.00000, time=1164.8 ms, rem=1.43 h
iter=  590, img_loss=0.140253, reg_loss=0.046350, lr=0.00000, time=1172.8 ms, rem=1.44 h
iter=  600, img_loss=0.145719, reg_loss=0.046415, lr=0.00000, time=1175.5 ms, rem=1.44 h
iter=  610, img_loss=0.138899, reg_loss=0.045828, lr=0.00000, time=1165.6 ms, rem=1.42 h
iter=  620, img_loss=0.139687, reg_loss=0.046111, lr=0.00000, time=1169.4 ms, rem=1.42 h
iter=  630, img_loss=0.135667, reg_loss=0.046168, lr=0.00000, time=1168.0 ms, rem=1.42 h
iter=  640, img_loss=0.136138, reg_loss=0.046464, lr=0.00000, time=1175.4 ms, rem=1.42 h
iter=  650, img_loss=0.141226, reg_loss=0.047103, lr=0.00000, time=1183.8 ms, rem=1.43 h
iter=  660, img_loss=0.144965, reg_loss=0.047072, lr=0.00000, time=1184.6 ms, rem=1.43 h
iter=  670, img_loss=0.139800, reg_loss=0.045971, lr=0.00000, time=1168.1 ms, rem=1.40 h
iter=  680, img_loss=0.145920, reg_loss=0.045990, lr=0.00000, time=1169.0 ms, rem=1.40 h
iter=  690, img_loss=0.142165, reg_loss=0.045703, lr=0.00000, time=1165.0 ms, rem=1.39 h
iter=  700, img_loss=0.139462, reg_loss=0.045430, lr=0.00000, time=1158.6 ms, rem=1.38 h
iter=  710, img_loss=0.140561, reg_loss=0.046626, lr=0.00000, time=1178.6 ms, rem=1.40 h
iter=  720, img_loss=0.146940, reg_loss=0.046732, lr=0.00000, time=1180.7 ms, rem=1.40 h
iter=  730, img_loss=0.142187, reg_loss=0.045667, lr=0.00000, time=1162.7 ms, rem=1.38 h
iter=  740, img_loss=0.144506, reg_loss=0.046177, lr=0.00000, time=1172.4 ms, rem=1.39 h
iter=  750, img_loss=0.139312, reg_loss=0.046369, lr=0.00000, time=1173.1 ms, rem=1.38 h
iter=  760, img_loss=0.136954, reg_loss=0.046561, lr=0.00000, time=1176.4 ms, rem=1.39 h
iter=  770, img_loss=0.140347, reg_loss=0.046196, lr=0.00000, time=1168.7 ms, rem=1.37 h
iter=  780, img_loss=0.139786, reg_loss=0.046400, lr=0.00000, time=1173.3 ms, rem=1.38 h
iter=  790, img_loss=0.151692, reg_loss=0.047595, lr=0.00000, time=1197.1 ms, rem=1.40 h
iter=  800, img_loss=0.143475, reg_loss=0.045775, lr=0.00000, time=1165.4 ms, rem=1.36 h
iter=  810, img_loss=0.143794, reg_loss=0.046295, lr=0.00000, time=1174.7 ms, rem=1.37 h
iter=  820, img_loss=0.138728, reg_loss=0.045833, lr=0.00000, time=1163.8 ms, rem=1.35 h
iter=  830, img_loss=0.141998, reg_loss=0.046064, lr=0.00000, time=1168.5 ms, rem=1.35 h
iter=  840, img_loss=0.147944, reg_loss=0.046758, lr=0.00000, time=1182.9 ms, rem=1.37 h
iter=  850, img_loss=0.141057, reg_loss=0.046416, lr=0.00000, time=1176.3 ms, rem=1.36 h
