====== Scene: 97 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module renderutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin/lock'
Using mesh scale : 2.1, center : [ 0.11844561 -0.05512565 -0.09388848]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan97
config configs/97.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan97
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/97.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.11844561 -0.05512565 -0.09388848]
---------
DatasetLLFF: 60 images with shape [600, 800]
Auto centering at [ 0.11844561 -0.05512565 -0.09388848]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.11844561 -0.05512565 -0.09388848]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 253366 triangles and 126885 vertices.
Avg edge length: 1.855546
Warning: Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/lock'
iter=    0, img_loss=0.252312, reg_loss=0.050859, lr=0.00000, time=1105.2 ms, rem=1.53 h
iter=   10, img_loss=0.214158, reg_loss=0.043893, lr=0.00000, time=1098.1 ms, rem=1.52 h
iter=   20, img_loss=0.199648, reg_loss=0.045887, lr=0.00000, time=1118.9 ms, rem=1.55 h
iter=   30, img_loss=0.196828, reg_loss=0.045024, lr=0.00000, time=1125.8 ms, rem=1.55 h
iter=   40, img_loss=0.203159, reg_loss=0.046167, lr=0.00000, time=1151.7 ms, rem=1.59 h
iter=   50, img_loss=0.198489, reg_loss=0.044209, lr=0.00000, time=1137.7 ms, rem=1.56 h
iter=   60, img_loss=0.179177, reg_loss=0.043428, lr=0.00000, time=1126.1 ms, rem=1.55 h
iter=   70, img_loss=0.190740, reg_loss=0.043010, lr=0.00000, time=1127.8 ms, rem=1.54 h
iter=   80, img_loss=0.193748, reg_loss=0.042387, lr=0.00000, time=1125.3 ms, rem=1.54 h
iter=   90, img_loss=0.194682, reg_loss=0.043099, lr=0.00000, time=1137.5 ms, rem=1.55 h
iter=  100, img_loss=0.192604, reg_loss=0.042926, lr=0.00000, time=1133.9 ms, rem=1.54 h
iter=  110, img_loss=0.171143, reg_loss=0.040590, lr=0.00000, time=1092.3 ms, rem=1.48 h
iter=  120, img_loss=0.185182, reg_loss=0.042655, lr=0.00000, time=1128.5 ms, rem=1.53 h
iter=  130, img_loss=0.190931, reg_loss=0.045259, lr=0.00000, time=1173.2 ms, rem=1.59 h
iter=  140, img_loss=0.173461, reg_loss=0.042248, lr=0.00000, time=1122.4 ms, rem=1.52 h
iter=  150, img_loss=0.175865, reg_loss=0.041789, lr=0.00000, time=1119.7 ms, rem=1.51 h
iter=  160, img_loss=0.179586, reg_loss=0.041342, lr=0.00000, time=1111.0 ms, rem=1.49 h
iter=  170, img_loss=0.176701, reg_loss=0.040708, lr=0.00000, time=1101.9 ms, rem=1.48 h
iter=  180, img_loss=0.180676, reg_loss=0.042278, lr=0.00000, time=1130.2 ms, rem=1.51 h
iter=  190, img_loss=0.198870, reg_loss=0.043690, lr=0.00000, time=1164.5 ms, rem=1.56 h
iter=  200, img_loss=0.181393, reg_loss=0.042564, lr=0.00000, time=1133.3 ms, rem=1.51 h
iter=  210, img_loss=0.175943, reg_loss=0.041821, lr=0.00000, time=1117.6 ms, rem=1.49 h
iter=  220, img_loss=0.185592, reg_loss=0.042776, lr=0.00000, time=1139.7 ms, rem=1.51 h
iter=  230, img_loss=0.195459, reg_loss=0.043812, lr=0.00000, time=1157.2 ms, rem=1.53 h
iter=  240, img_loss=0.160914, reg_loss=0.042289, lr=0.00000, time=1121.5 ms, rem=1.48 h
iter=  250, img_loss=0.189941, reg_loss=0.043458, lr=0.00000, time=1148.6 ms, rem=1.52 h
iter=  260, img_loss=0.172354, reg_loss=0.039821, lr=0.00000, time=1088.0 ms, rem=1.43 h
iter=  270, img_loss=0.184012, reg_loss=0.042983, lr=0.00000, time=1142.4 ms, rem=1.50 h
iter=  280, img_loss=0.189915, reg_loss=0.043556, lr=0.00000, time=1153.4 ms, rem=1.51 h
iter=  290, img_loss=0.178147, reg_loss=0.042075, lr=0.00000, time=1125.0 ms, rem=1.47 h
iter=  300, img_loss=0.174949, reg_loss=0.041623, lr=0.00000, time=1117.0 ms, rem=1.46 h
iter=  310, img_loss=0.202404, reg_loss=0.042411, lr=0.00000, time=1139.8 ms, rem=1.48 h
iter=  320, img_loss=0.198123, reg_loss=0.043270, lr=0.00000, time=1148.7 ms, rem=1.49 h
iter=  330, img_loss=0.186646, reg_loss=0.041964, lr=0.00000, time=1125.6 ms, rem=1.46 h
iter=  340, img_loss=0.192677, reg_loss=0.041888, lr=0.00000, time=1125.5 ms, rem=1.46 h
iter=  350, img_loss=0.185515, reg_loss=0.041938, lr=0.00000, time=1127.8 ms, rem=1.46 h
iter=  360, img_loss=0.182629, reg_loss=0.043417, lr=0.00000, time=1145.2 ms, rem=1.48 h
iter=  370, img_loss=0.179592, reg_loss=0.041292, lr=0.00000, time=1113.9 ms, rem=1.43 h
iter=  380, img_loss=0.194529, reg_loss=0.044534, lr=0.00000, time=1170.1 ms, rem=1.50 h
iter=  390, img_loss=0.187171, reg_loss=0.042591, lr=0.00000, time=1137.8 ms, rem=1.46 h
iter=  400, img_loss=0.196723, reg_loss=0.043304, lr=0.00000, time=1149.7 ms, rem=1.47 h
iter=  410, img_loss=0.192154, reg_loss=0.041617, lr=0.00000, time=1122.2 ms, rem=1.43 h
iter=  420, img_loss=0.185762, reg_loss=0.042734, lr=0.00000, time=1141.7 ms, rem=1.45 h
iter=  430, img_loss=0.172518, reg_loss=0.041588, lr=0.00000, time=1120.3 ms, rem=1.42 h
iter=  440, img_loss=0.175236, reg_loss=0.041932, lr=0.00000, time=1125.7 ms, rem=1.43 h
iter=  450, img_loss=0.173089, reg_loss=0.039991, lr=0.00000, time=1091.5 ms, rem=1.38 h
iter=  460, img_loss=0.182592, reg_loss=0.042106, lr=0.00000, time=1128.1 ms, rem=1.42 h
iter=  470, img_loss=0.187098, reg_loss=0.041255, lr=0.00000, time=1115.4 ms, rem=1.40 h
iter=  480, img_loss=0.191658, reg_loss=0.042311, lr=0.00000, time=1136.1 ms, rem=1.43 h
iter=  490, img_loss=0.180447, reg_loss=0.043122, lr=0.00000, time=1142.6 ms, rem=1.43 h
iter=  500, img_loss=0.185374, reg_loss=0.040498, lr=0.00000, time=1106.1 ms, rem=1.38 h
iter=  510, img_loss=0.182945, reg_loss=0.042251, lr=0.00000, time=1131.8 ms, rem=1.41 h
iter=  520, img_loss=0.167788, reg_loss=0.041496, lr=0.00000, time=1113.1 ms, rem=1.39 h
iter=  530, img_loss=0.180976, reg_loss=0.043463, lr=0.00000, time=1149.5 ms, rem=1.43 h
iter=  540, img_loss=0.194059, reg_loss=0.042372, lr=0.00000, time=1137.9 ms, rem=1.41 h
iter=  550, img_loss=0.174852, reg_loss=0.042025, lr=0.00000, time=1125.5 ms, rem=1.39 h
iter=  560, img_loss=0.187711, reg_loss=0.042988, lr=0.00000, time=1145.2 ms, rem=1.41 h
iter=  570, img_loss=0.183720, reg_loss=0.041489, lr=0.00000, time=1120.9 ms, rem=1.38 h
iter=  580, img_loss=0.190631, reg_loss=0.043062, lr=0.00000, time=1146.1 ms, rem=1.41 h
iter=  590, img_loss=0.181098, reg_loss=0.041231, lr=0.00000, time=1114.5 ms, rem=1.37 h
