iter=  330, img_loss=0.274541, reg_loss=0.064627, lr=0.00000, time=1540.0 ms, rem=2.00 h
iter=  340, img_loss=0.267794, reg_loss=0.063647, lr=0.00000, time=1519.5 ms, rem=1.97 h
iter=  350, img_loss=0.285812, reg_loss=0.064239, lr=0.00000, time=1537.4 ms, rem=1.99 h
iter=  360, img_loss=0.271410, reg_loss=0.064312, lr=0.00000, time=1530.2 ms, rem=1.97 h
iter=  370, img_loss=0.295107, reg_loss=0.065944, lr=0.00000, time=1564.4 ms, rem=2.01 h
iter=  380, img_loss=0.290154, reg_loss=0.066368, lr=0.00000, time=1564.3 ms, rem=2.01 h
iter=  390, img_loss=0.280226, reg_loss=0.064657, lr=0.00000, time=1547.2 ms, rem=1.98 h
iter=  400, img_loss=0.293715, reg_loss=0.065368, lr=0.00000, time=1556.4 ms, rem=1.99 h
iter=  410, img_loss=0.292021, reg_loss=0.065573, lr=0.00000, time=1555.0 ms, rem=1.98 h
iter=  420, img_loss=0.276338, reg_loss=0.064149, lr=0.00000, time=1533.2 ms, rem=1.95 h
iter=  430, img_loss=0.289532, reg_loss=0.064758, lr=0.00000, time=1551.7 ms, rem=1.97 h
iter=  440, img_loss=0.278239, reg_loss=0.064966, lr=0.00000, time=1547.0 ms, rem=1.96 h
iter=  450, img_loss=0.280829, reg_loss=0.064106, lr=0.00000, time=1533.8 ms, rem=1.94 h
iter=  460, img_loss=0.288717, reg_loss=0.064769, lr=0.00000, time=1547.0 ms, rem=1.95 h
iter=  470, img_loss=0.267746, reg_loss=0.063889, lr=0.00000, time=1530.4 ms, rem=1.93 h
iter=  480, img_loss=0.274832, reg_loss=0.064683, lr=0.00000, time=1545.5 ms, rem=1.94 h
iter=  490, img_loss=0.282183, reg_loss=0.064506, lr=0.00000, time=1538.4 ms, rem=1.93 h
iter=  500, img_loss=0.306582, reg_loss=0.066707, lr=0.00000, time=1584.9 ms, rem=1.98 h
iter=  510, img_loss=0.280632, reg_loss=0.064632, lr=0.00000, time=1534.2 ms, rem=1.91 h
iter=  520, img_loss=0.275033, reg_loss=0.063699, lr=0.00000, time=1531.9 ms, rem=1.91 h
iter=  530, img_loss=0.279500, reg_loss=0.064828, lr=0.00000, time=1541.8 ms, rem=1.91 h
iter=  540, img_loss=0.272838, reg_loss=0.063806, lr=0.00000, time=1526.0 ms, rem=1.89 h
iter=  550, img_loss=0.292420, reg_loss=0.064976, lr=0.00000, time=1550.5 ms, rem=1.92 h
iter=  560, img_loss=0.277919, reg_loss=0.063206, lr=0.00000, time=1525.3 ms, rem=1.88 h
iter=  570, img_loss=0.312076, reg_loss=0.066893, lr=0.00000, time=1580.0 ms, rem=1.94 h
iter=  580, img_loss=0.278685, reg_loss=0.064900, lr=0.00000, time=1551.5 ms, rem=1.90 h
iter=  590, img_loss=0.281767, reg_loss=0.064957, lr=0.00000, time=1550.3 ms, rem=1.90 h
iter=  600, img_loss=0.301733, reg_loss=0.065792, lr=0.00000, time=1562.0 ms, rem=1.91 h
iter=  610, img_loss=0.291599, reg_loss=0.065511, lr=0.00000, time=1555.2 ms, rem=1.90 h
iter=  620, img_loss=0.303268, reg_loss=0.066073, lr=0.00000, time=1571.4 ms, rem=1.91 h
iter=  630, img_loss=0.296534, reg_loss=0.065171, lr=0.00000, time=1551.2 ms, rem=1.88 h
iter=  640, img_loss=0.278255, reg_loss=0.064503, lr=0.00000, time=1538.8 ms, rem=1.86 h
iter=  650, img_loss=0.299608, reg_loss=0.065730, lr=0.00000, time=1561.3 ms, rem=1.89 h
iter=  660, img_loss=0.299564, reg_loss=0.065952, lr=0.00000, time=1564.7 ms, rem=1.89 h
iter=  670, img_loss=0.277104, reg_loss=0.064162, lr=0.00000, time=1534.3 ms, rem=1.85 h
iter=  680, img_loss=0.298896, reg_loss=0.065251, lr=0.00000, time=1554.4 ms, rem=1.87 h
iter=  690, img_loss=0.274453, reg_loss=0.064387, lr=0.00000, time=1531.1 ms, rem=1.83 h
iter=  700, img_loss=0.286549, reg_loss=0.064756, lr=0.00000, time=1544.2 ms, rem=1.84 h
iter=  710, img_loss=0.290397, reg_loss=0.064470, lr=0.00000, time=1546.1 ms, rem=1.84 h
iter=  720, img_loss=0.285517, reg_loss=0.065238, lr=0.00000, time=1551.0 ms, rem=1.84 h
iter=  730, img_loss=0.285607, reg_loss=0.065118, lr=0.00000, time=1549.8 ms, rem=1.84 h
iter=  740, img_loss=0.282909, reg_loss=0.064981, lr=0.00000, time=1550.8 ms, rem=1.84 h
iter=  750, img_loss=0.292237, reg_loss=0.064883, lr=0.00000, time=1543.2 ms, rem=1.82 h
iter=  760, img_loss=0.287659, reg_loss=0.065341, lr=0.00000, time=1556.8 ms, rem=1.83 h
iter=  770, img_loss=0.291699, reg_loss=0.064897, lr=0.00000, time=1546.1 ms, rem=1.82 h
iter=  780, img_loss=0.276223, reg_loss=0.064581, lr=0.00000, time=1539.0 ms, rem=1.80 h
iter=  790, img_loss=0.276218, reg_loss=0.064256, lr=0.00000, time=1536.5 ms, rem=1.80 h
iter=  800, img_loss=0.291117, reg_loss=0.065466, lr=0.00000, time=1560.8 ms, rem=1.82 h
iter=  810, img_loss=0.302735, reg_loss=0.065510, lr=0.00000, time=1566.3 ms, rem=1.82 h
iter=  820, img_loss=0.283682, reg_loss=0.064936, lr=0.00000, time=1546.1 ms, rem=1.80 h
iter=  830, img_loss=0.282120, reg_loss=0.063765, lr=0.00000, time=1527.4 ms, rem=1.77 h
iter=  840, img_loss=0.267974, reg_loss=0.063823, lr=0.00000, time=1525.4 ms, rem=1.76 h
iter=  850, img_loss=0.289860, reg_loss=0.065354, lr=0.00000, time=1556.3 ms, rem=1.79 h
iter=  860, img_loss=0.296957, reg_loss=0.064972, lr=0.00000, time=1548.2 ms, rem=1.78 h
iter=  870, img_loss=0.284583, reg_loss=0.065192, lr=0.00000, time=1552.9 ms, rem=1.78 h
iter=  880, img_loss=0.284333, reg_loss=0.064856, lr=0.00000, time=1548.1 ms, rem=1.77 h
iter=  890, img_loss=0.289267, reg_loss=0.064709, lr=0.00000, time=1548.2 ms, rem=1.77 h
iter=  900, img_loss=0.269959, reg_loss=0.064057, lr=0.00000, time=1528.1 ms, rem=1.74 h
iter=  910, img_loss=0.283395, reg_loss=0.065520, lr=0.00000, time=1553.9 ms, rem=1.77 h
iter=  920, img_loss=0.280958, reg_loss=0.064339, lr=0.00000, time=1537.6 ms, rem=1.74 h
iter=  930, img_loss=0.286028, reg_loss=0.065312, lr=0.00000, time=1552.0 ms, rem=1.75 h
iter=  940, img_loss=0.284327, reg_loss=0.063840, lr=0.00000, time=1537.6 ms, rem=1.73 h
iter=  950, img_loss=0.292227, reg_loss=0.065004, lr=0.00000, time=1550.5 ms, rem=1.74 h
iter=  960, img_loss=0.301625, reg_loss=0.065187, lr=0.00000, time=1558.7 ms, rem=1.75 h
iter=  970, img_loss=0.276478, reg_loss=0.064064, lr=0.00000, time=1528.2 ms, rem=1.71 h
iter=  980, img_loss=0.274678, reg_loss=0.064463, lr=0.00000, time=1537.8 ms, rem=1.72 h
iter=  990, img_loss=0.294101, reg_loss=0.064890, lr=0.00000, time=1552.6 ms, rem=1.73 h
iter= 1000, img_loss=0.274696, reg_loss=0.063763, lr=0.00000, time=1527.0 ms, rem=1.70 h
iter= 1010, img_loss=0.281189, reg_loss=0.064507, lr=0.00000, time=1535.0 ms, rem=1.70 h
iter= 1020, img_loss=0.291049, reg_loss=0.064922, lr=0.00000, time=1545.1 ms, rem=1.71 h
iter= 1030, img_loss=0.269110, reg_loss=0.064078, lr=0.00000, time=1528.6 ms, rem=1.69 h
iter= 1040, img_loss=0.294832, reg_loss=0.064521, lr=0.00000, time=1545.6 ms, rem=1.70 h
iter= 1050, img_loss=0.279385, reg_loss=0.064022, lr=0.00000, time=1531.9 ms, rem=1.68 h
iter= 1060, img_loss=0.281473, reg_loss=0.064227, lr=0.00000, time=1541.1 ms, rem=1.69 h
iter= 1070, img_loss=0.269466, reg_loss=0.064024, lr=0.00000, time=1526.0 ms, rem=1.67 h
iter= 1080, img_loss=0.293319, reg_loss=0.064451, lr=0.00000, time=1537.9 ms, rem=1.67 h
iter= 1090, img_loss=0.275507, reg_loss=0.064190, lr=0.00000, time=1538.3 ms, rem=1.67 h
iter= 1100, img_loss=0.277464, reg_loss=0.064856, lr=0.00000, time=1542.6 ms, rem=1.67 h
iter= 1110, img_loss=0.284726, reg_loss=0.064752, lr=0.00000, time=1543.3 ms, rem=1.67 h
iter= 1120, img_loss=0.296276, reg_loss=0.065454, lr=0.00000, time=1551.9 ms, rem=1.67 h
iter= 1130, img_loss=0.283208, reg_loss=0.064393, lr=0.00000, time=1531.7 ms, rem=1.65 h
iter= 1140, img_loss=0.289554, reg_loss=0.064616, lr=0.00000, time=1545.0 ms, rem=1.66 h
iter= 1150, img_loss=0.281085, reg_loss=0.063932, lr=0.00000, time=1532.0 ms, rem=1.64 h
iter= 1160, img_loss=0.294229, reg_loss=0.065440, lr=0.00000, time=1557.2 ms, rem=1.66 h
iter= 1170, img_loss=0.294970, reg_loss=0.065319, lr=0.00000, time=1552.9 ms, rem=1.65 h
iter= 1180, img_loss=0.299899, reg_loss=0.065592, lr=0.00000, time=1569.5 ms, rem=1.67 h
iter= 1190, img_loss=0.283317, reg_loss=0.064454, lr=0.00000, time=1534.6 ms, rem=1.62 h
iter= 1200, img_loss=0.278685, reg_loss=0.063789, lr=0.00000, time=1530.1 ms, rem=1.62 h
iter= 1210, img_loss=0.295685, reg_loss=0.064859, lr=0.00000, time=1545.3 ms, rem=1.63 h
iter= 1220, img_loss=0.285299, reg_loss=0.065971, lr=0.00000, time=1555.2 ms, rem=1.63 h
iter= 1230, img_loss=0.275229, reg_loss=0.064077, lr=0.00000, time=1531.7 ms, rem=1.60 h
iter= 1240, img_loss=0.295130, reg_loss=0.065571, lr=0.00000, time=1554.8 ms, rem=1.62 h
iter= 1250, img_loss=0.283574, reg_loss=0.064129, lr=0.00000, time=1535.6 ms, rem=1.60 h
