====== Scene: 55 ======
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module optixutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin_gl/lock'
/homes/sanskar/miniconda3/envs/nvdiffrec/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
End of OptiXStateWrapper 
Using /homes/sanskar/.cache/torch_extensions/py39_cu116 as PyTorch extensions root...
Loading extension module renderutils_plugin...
Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/nvdiffrast_plugin/lock'
Using mesh scale : 2.1, center : [ 0.11126977 -0.04529937 -0.12619422]
Config / Flags:
---------
iter 5000
batch 8
spp 1
layers 1
train_res [600, 800]
display_res [600, 800]
texture_res [1024, 1024]
display_interval 0
save_interval 100
learning_rate [0.03, 0.01]
custom_mip False
background white
loss logl1
out_dir out/scan55
config configs/55.json
ref_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/scan55
base_mesh /homes/sanskar/mcnvdiffrec/nvdiffrecmc/dtu_data/mesh/55.obj
validate True
n_samples 8
bsdf pbr
denoiser bilateral
denoiser_demodulate True
mtl_override None
dmtet_grid 64
mesh_scale 2.1
envlight None
env_scale 1.0
probe_res 256
learn_lighting True
display [{'latlong': True}, {'bsdf': 'kd'}, {'bsdf': 'ks'}, {'bsdf': 'normal'}]
transparency False
lock_light False
lock_pos True
sdf_regularizer 0.2
laplace relative
laplace_scale 3000.0
pre_load True
no_perturbed_nrm False
decorrelated False
kd_min [0.0, 0.0, 0.0, 0.0]
kd_max [1.0, 1.0, 1.0, 1.0]
ks_min [0.0, 0.08, 0.0]
ks_max [1.0, 1.0, 1.0]
nrm_min [-1.0, -1.0, 0.0]
nrm_max [1.0, 1.0, 1.0]
clip_max_norm 0.0
cam_near_far [0.1, 1000.0]
lambda_kd 0.1
lambda_ks 0.05
lambda_nrm 0.025
lambda_nrm2 0.25
lambda_chroma 0.0
lambda_diffuse 0.15
lambda_specular 0.0025
random_textures True
centre [ 0.11126977 -0.04529937 -0.12619422]
---------
DatasetLLFF: 45 images with shape [600, 800]
Auto centering at [ 0.11126977 -0.04529937 -0.12619422]
DatasetLLFF: 4 images with shape [600, 800]
Auto centering at [ 0.11126977 -0.04529937 -0.12619422]
Cuda path /homes/sanskar/miniconda3/envs/nvdiffrec
Base mesh has 250826 triangles and 125885 vertices.
Avg edge length: 2.206272
Warning: Lock file exists in build directory: '/homes/sanskar/.cache/torch_extensions/py39_cu116/renderutils_plugin/lock'
iter=    0, img_loss=0.495158, reg_loss=0.067900, lr=0.00000, time=1399.0 ms, rem=1.94 h
iter=   10, img_loss=0.428009, reg_loss=0.059702, lr=0.00000, time=1378.4 ms, rem=1.91 h
iter=   20, img_loss=0.388619, reg_loss=0.059069, lr=0.00000, time=1364.4 ms, rem=1.89 h
iter=   30, img_loss=0.400013, reg_loss=0.058327, lr=0.00000, time=1387.4 ms, rem=1.92 h
iter=   40, img_loss=0.401802, reg_loss=0.057475, lr=0.00000, time=1396.8 ms, rem=1.92 h
iter=   50, img_loss=0.356465, reg_loss=0.053934, lr=0.00000, time=1346.1 ms, rem=1.85 h
iter=   60, img_loss=0.389179, reg_loss=0.055821, lr=0.00000, time=1386.9 ms, rem=1.90 h
iter=   70, img_loss=0.382374, reg_loss=0.055066, lr=0.00000, time=1384.7 ms, rem=1.90 h
iter=   80, img_loss=0.395511, reg_loss=0.055340, lr=0.00000, time=1391.0 ms, rem=1.90 h
iter=   90, img_loss=0.372513, reg_loss=0.053680, lr=0.00000, time=1362.4 ms, rem=1.86 h
iter=  100, img_loss=0.391880, reg_loss=0.055096, lr=0.00000, time=1392.9 ms, rem=1.90 h
iter=  110, img_loss=0.388959, reg_loss=0.054804, lr=0.00000, time=1392.9 ms, rem=1.89 h
iter=  120, img_loss=0.390172, reg_loss=0.054365, lr=0.00000, time=1386.0 ms, rem=1.88 h
iter=  130, img_loss=0.377312, reg_loss=0.054316, lr=0.00000, time=1382.3 ms, rem=1.87 h
iter=  140, img_loss=0.346336, reg_loss=0.051833, lr=0.00000, time=1339.3 ms, rem=1.81 h
iter=  150, img_loss=0.378779, reg_loss=0.053923, lr=0.00000, time=1378.2 ms, rem=1.86 h
iter=  160, img_loss=0.390571, reg_loss=0.054427, lr=0.00000, time=1387.4 ms, rem=1.87 h
iter=  170, img_loss=0.402066, reg_loss=0.055207, lr=0.00000, time=1403.2 ms, rem=1.88 h
iter=  180, img_loss=0.397094, reg_loss=0.054835, lr=0.00000, time=1397.5 ms, rem=1.87 h
iter=  190, img_loss=0.391963, reg_loss=0.054631, lr=0.00000, time=1392.9 ms, rem=1.86 h
iter=  200, img_loss=0.369663, reg_loss=0.053325, lr=0.00000, time=1368.1 ms, rem=1.82 h
iter=  210, img_loss=0.380411, reg_loss=0.053427, lr=0.00000, time=1372.9 ms, rem=1.83 h
iter=  220, img_loss=0.388369, reg_loss=0.054628, lr=0.00000, time=1392.9 ms, rem=1.85 h
iter=  230, img_loss=0.361653, reg_loss=0.052496, lr=0.00000, time=1353.6 ms, rem=1.79 h
iter=  240, img_loss=0.381449, reg_loss=0.054305, lr=0.00000, time=1385.9 ms, rem=1.83 h
iter=  250, img_loss=0.384059, reg_loss=0.053891, lr=0.00000, time=1381.3 ms, rem=1.82 h
iter=  260, img_loss=0.398317, reg_loss=0.054835, lr=0.00000, time=1399.5 ms, rem=1.84 h
iter=  270, img_loss=0.390518, reg_loss=0.054426, lr=0.00000, time=1389.3 ms, rem=1.83 h
